bay_name,grid_row,grid_col,level
PA21-1b,7,22,Level 1
PA23-1a,7,23,Level 1
PA23-1b,7,24,Level 1
PA25-1a,7,25,Level 1
PA25-1b,7,26,Level 1
PA27-1a,7,27,Level 1
PA27-1b,7,28,Level 1
PA29-1a,7,29,Level 1
PA29-1b,7,30,Level 1
PA31-1a,7,31,Level 1
PA31-1b,7,32,Level 1
PA33-1a,7,33,Level 1
PA33-1b,7,34,Level 1
PA35-1a,7,35,Level 1
PA35-1b,7,36,Level 1
PA37-1a,7,37,Level 1
PA37-1b,7,38,Level 1
PA39-1a,7,39,Level 1
PA39-1b,7,40,Level 1
PA41-1a,7,41,Level 1
PA41-1b,7,42,Level 1
PA43-1a,7,43,Level 1
PA43-1b,7,44,Level 1
PA45-1a,7,45,Level 1
PA45-1b,7,46,Level 1
PA47-1a,7,47,Level 1
PA47-1b,7,48,Level 1
PA49-1a,7,49,Level 1
PA49-1b,7,50,Level 1
PA51-1a,7,51,Level 1
PA51-1b,7,52,Level 1
PA53-1a,7,53,Level 1
PA53-1b,7,54,Level 1
PA55-1a,7,55,Level 1
PA55-1b,7,56,Level 1
PA57-1a,7,57,Level 1
PA57-1b,7,58,Level 1
PA59-1a,7,59,Level 1
PA59-1b,7,60,Level 1
PA61-1a,7,61,Level 1
PA61-1b,7,62,Level 1
PA63-1a,7,63,Level 1
PA63-1b,7,64,Level 1
PA65-1a,7,65,Level 1
PA65-1b,7,66,Level 1
PA67-1a,7,67,Level 1
PA67-1b,7,68,Level 1
PA69-1a,7,69,Level 1
PA69-1b,7,70,Level 1
PA71-1a,7,71,Level 1
PA71-1b,7,72,Level 1
PA73-1a,7,73,Level 1
PA73-1b,7,74,Level 1
PA75-1a,7,75,Level 1
PA75-1b,7,76,Level 1
PA77-1a,7,77,Level 1
PA77-1b,7,78,Level 1
PA79-1a,7,79,Level 1
PA79-1b,7,80,Level 1
PA81-1a,7,81,Level 1
PA81-1b,7,82,Level 1
PA83-1a,7,83,Level 1
PA83-1b,7,84,Level 1
PA85-1a,7,85,Level 1
PA85-1b,7,86,Level 1
PA87-1a,7,87,Level 1
PA87-1b,7,88,Level 1
PA89-1a,7,89,Level 1
PA89-1b,7,90,Level 1
PA91-1a,7,91,Level 1
PA91-1b,7,92,Level 1
PA93-1a,7,93,Level 1
PA93-1b,7,94,Level 1
PA95-1a,7,95,Level 1
PA95-1b,7,96,Level 1
PA97-1a,7,97,Level 1
PA97-1b,7,98,Level 1
PA99-1a,7,99,Level 1
PA99-1b,7,100,Level 1
PA101-1a,7,101,Level 1
PA101-1b,7,102,Level 1
PA103-1a,7,103,Level 1
PA103-1b,7,104,Level 1
PA105-1a,7,105,Level 1
PA105-1b,7,106,Level 1
PA107-1a,7,107,Level 1
PA107-1b,7,108,Level 1
PA109-1a,7,109,Level 1
PA109-1b,7,110,Level 1
PA111-1a,7,111,Level 1
PA111-1b,7,112,Level 1
PA113-1a,7,113,Level 1
PA113-1b,7,114,Level 1
PA115-1a,7,115,Level 1
PA115-1b,7,116,Level 1
PA117-1a,7,117,Level 1
PA117-1b,7,118,Level 1
PA1-0a,8,1,Level 1
PA1-0b,8,2,Level 1
PA3-0a,8,3,Level 1
PA3-0b,8,4,Level 1
PA5-0a,8,5,Level 1
PA5-0b,8,6,Level 1
PA7-0a,8,7,Level 1
PA7-0b,8,8,Level 1
PA9-0a,8,9,Level 1
PA9-0b,8,10,Level 1
PA11-0a,8,11,Level 1
PA11-0b,8,12,Level 1
PA13-0a,8,13,Level 1
PA13-0b,8,14,Level 1
PA15-0a,8,15,Level 1
PA15-0b,8,16,Level 1
PA17-0a,8,17,Level 1
PA17-0b,8,18,Level 1
PA19-0a,8,19,Level 1
PA19-0b,8,20,Level 1
PA21-0a,8,21,Level 1
PA21-0b,8,22,Level 1
PA23-0a,8,23,Level 1
PA23-0b,8,24,Level 1
PA25-0a,8,25,Level 1
PA25-0b,8,26,Level 1
PA27-0a,8,27,Level 1
PA27-0b,8,28,Level 1
PA29-0a,8,29,Level 1
PA29-0b,8,30,Level 1
PA31-0a,8,31,Level 1
PA31-0b,8,32,Level 1
PA33-0a,8,33,Level 1
PA33-0b,8,34,Level 1
PA35-0a,8,35,Level 1
PA35-0b,8,36,Level 1
PA37-0a,8,37,Level 1
PA37-0b,8,38,Level 1
PA39-0a,8,39,Level 1
PA39-0b,8,40,Level 1
PA41-0a,8,41,Level 1
